Id,TaskId,ProjectId,UserId,UserDiscipline,ProjectRule,TSDate,TSHour,Adjustments,AutoLoad
151221,4613,PRO-137-ADT-001,194,RnD,Member,3/8/2022,4,0,6/13/2022 13:58
151222,4613,PRO-137-ADT-001,194,RnD,Member,3/9/2022,8,0,6/13/2022 13:58
151223,4613,PRO-137-ADT-001,194,RnD,Member,3/10/2022,8,0,6/13/2022 13:58
151224,4613,PRO-137-ADT-001,194,RnD,Member,3/11/2022,8,0,6/13/2022 13:58
151225,4614,PRO-137-ADT-001,194,RnD,Member,3/14/2022,9,0,6/13/2022 13:58
151226,4614,PRO-137-ADT-001,194,RnD,Member,3/15/2022,4,0,6/13/2022 13:58
151227,4614,PRO-137-ADT-001,194,RnD,Member,3/16/2022,4.5,0,6/13/2022 13:58
151228,4614,PRO-137-ADT-001,194,RnD,Member,3/17/2022,4,0,6/13/2022 13:58
151229,4614,PRO-137-ADT-001,194,RnD,Member,3/18/2022,9,0,6/13/2022 13:58
151230,4614,PRO-137-ADT-001,194,RnD,Member,3/21/2022,4,0,6/13/2022 13:58
151231,4615,PRO-137-ADT-001,194,RnD,Member,3/21/2022,4,0,6/13/2022 13:58
151232,4616,PRO-137-ADT-001,194,RnD,Member,3/22/2022,9,0,6/13/2022 13:58
151233,4616,PRO-137-ADT-001,194,RnD,Member,3/23/2022,9,0,6/13/2022 13:58
151234,4616,PRO-137-ADT-001,194,RnD,Member,3/24/2022,9,0,6/13/2022 13:58
151235,4616,PRO-137-ADT-001,194,RnD,Member,3/25/2022,9,0,6/13/2022 13:58
151236,4617,PRO-137-ADT-001,194,RnD,Member,3/29/2022,9,0,6/13/2022 13:58
151237,4617,PRO-137-ADT-001,194,RnD,Member,3/30/2022,5,0,6/13/2022 13:58
151238,4617,PRO-137-ADT-001,194,RnD,Member,3/31/2022,9,0,6/13/2022 13:58
151239,4617,PRO-137-ADT-001,194,RnD,Member,4/1/2022,4,0,6/13/2022 13:58
151240,4618,PRO-137-ADT-001,194,RnD,Member,4/5/2022,4,0,6/13/2022 13:58
151241,4619,PRO-137-ADT-001,194,RnD,Member,4/6/2022,2,0,6/13/2022 13:58
151242,4620,PRO-137-ADT-001,194,RnD,Member,4/7/2022,8,0,6/13/2022 13:58
151243,4620,PRO-137-ADT-001,194,RnD,Member,4/12/2022,4,0,6/13/2022 13:58
151244,4620,PRO-137-ADT-001,194,RnD,Member,4/14/2022,6,0,6/13/2022 13:58
151245,4620,PRO-137-ADT-001,194,RnD,Member,4/15/2022,2,0,6/13/2022 13:58
151246,4621,PRO-137-ADT-001,194,RnD,Member,4/13/2022,4,0,6/13/2022 13:58
151247,4622,PRO-137-ADT-001,194,RnD,Member,4/15/2022,4,0,6/13/2022 13:58
151248,4622,PRO-137-ADT-001,194,RnD,Member,4/16/2022,6,0,6/13/2022 13:58
151249,4622,PRO-137-ADT-001,194,RnD,Member,4/18/2022,8,0,6/13/2022 13:58
151250,4622,PRO-137-ADT-001,194,RnD,Member,4/19/2022,6,0,6/13/2022 13:58
151251,4622,PRO-137-ADT-001,194,RnD,Member,4/20/2022,8,0,6/13/2022 13:58
151252,4623,PRO-137-ADT-001,194,RnD,Member,4/25/2022,8,0,6/13/2022 13:58
151253,4624,PRO-137-ADT-001,194,RnD,Member,4/26/2022,2,0,6/13/2022 13:58
151254,4625,PRO-137-ADT-001,194,RnD,Member,4/26/2022,1,0,6/13/2022 13:58
151255,4626,PRO-137-ADT-001,194,RnD,Member,4/26/2022,1,0,6/13/2022 13:58
151256,4627,PRO-137-ADT-001,194,RnD,Member,4/27/2022,2,0,6/13/2022 13:58
151257,4628,PRO-137-ADT-001,194,RnD,Member,4/29/2022,4,0,6/13/2022 13:58
151258,4629,PRO-137-ADT-001,194,RnD,Member,4/29/2022,2,0,6/13/2022 13:58
151259,4630,PRO-137-ADT-001,194,RnD,Member,5/4/2022,2,0,6/13/2022 13:58
151260,4631,PRO-137-ADT-001,194,RnD,Member,5/4/2022,6,0,6/13/2022 13:58
151261,4632,PRO-137-ADT-001,194,RnD,Member,5/5/2022,8,0,6/13/2022 13:58
151262,4633,PRO-137-ADT-001,194,RnD,Member,5/6/2022,6,0,6/13/2022 13:58
151263,4635,PRO-000-ADT-001,209,Structure,Member,12/27/2021,7,0,6/13/2022 13:58
151264,4635,PRO-000-ADT-001,209,Structure,Member,12/28/2021,7,0,6/13/2022 13:58
151265,4636,PRO-132-ARSPAR-01,221,Architecture,Member,11/9/2021,8,0,6/13/2022 13:58
151266,4636,PRO-132-ARSPAR-01,221,Architecture,Member,11/23/2021,8,0,6/13/2022 13:58
151267,4636,PRO-132-ARSPAR-01,221,Architecture,Member,11/24/2021,8,0,6/13/2022 13:58
151268,4636,PRO-132-ARSPAR-01,221,Architecture,Member,11/25/2021,8,0,6/13/2022 13:58
151269,4636,PRO-132-ARSPAR-01,221,Architecture,Member,11/26/2021,8,0,6/13/2022 13:58
151270,4636,PRO-132-ARSPAR-01,221,Architecture,Member,11/29/2021,8,0,6/13/2022 13:58
151271,4636,PRO-132-ARSPAR-01,221,Architecture,Member,11/30/2021,8,0,6/13/2022 13:58
151272,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/1/2021,4,0,6/13/2022 13:58
